Date,CL,RB,HO,crack_321_total,crack_321_per_bbl,roll_mean,roll_std,z,signal,position,crack_ret,pnl,cum_pnl
2015-03-30,48.68000030517578,72.71039915084839,75.62520217895508,75.00599956512451,25.001999855041504,24.199640146891277,5.4564438224318,0.1470481020718428,0,0.0,0.3300001621246338,0.0,0.0
2015-03-31,47.599998474121094,72.15180158615112,74.75999879837036,76.26360654830933,25.421202182769775,24.329040173689524,5.390320905342523,0.2026153967934959,0,0.0,0.4192023277282715,0.0,0.0
2015-04-01,50.09000015258789,73.36979842185974,76.91040015220642,73.37999653816223,24.459998846054077,24.432086845239002,5.331443748995884,0.005235355023736626,0,0.0,-0.9612033367156982,-0.0,0.0
2015-04-02,49.13999938964844,70.6650002002716,73.97459864616394,67.88460087776184,22.62820029258728,24.48649352391561,5.295380334099542,-0.35092724489719285,0,0.0,-1.8317985534667969,-0.0,0.0
2015-04-06,52.13999938964844,74.10059952735901,77.38499879837036,69.16619968414307,23.055399894714355,24.576190201441445,5.223110137405495,-0.29116565929481253,0,0.0,0.4271996021270752,0.0,0.0
2015-04-07,53.97999954223633,74.91960024833679,78.15780186653137,66.05700373649597,22.019001245498657,24.644996933142345,5.160360472979845,-0.5088783431687881,0,0.0,-1.0363986492156982,-0.0,0.0
2015-04-08,50.41999816894531,71.32019877433777,73.04639983177185,64.42680287361145,21.475600957870483,24.70544365247091,5.10029479418444,-0.6332658846079291,0,0.0,-0.5434002876281738,-0.0,0.0
2015-04-09,50.790000915527344,72.52559852600098,73.88639903068542,66.56759333610535,22.189197778701782,24.77380030155182,5.037192728957196,-0.5131037587646768,0,0.0,0.7135968208312988,0.0,0.0
2015-04-10,51.63999938964844,74.17620205879211,75.90659880638123,69.33900475502014,23.113001585006714,24.8658003171285,4.953532985565273,-0.3538482003106647,0,0.0,0.9238038063049316,0.0,0.0
2015-04-13,51.90999984741211,74.898601770401,75.79320001602173,69.8604040145874,23.2868013381958,24.974323658148446,4.843384250790922,-0.34841801363934194,0,0.0,0.17379975318908691,0.0,0.0
2015-04-14,53.290000915527344,75.67139983177185,77.11199855804443,68.5847954750061,22.8615984916687,25.065450326601663,4.7488587768045,-0.46408030613534706,0,0.0,-0.4252028465270996,-0.0,0.0
2015-04-15,56.38999938964844,79.32960104942322,81.31199955940247,70.80120348930359,23.600401163101196,25.17595700422923,4.633015781994844,-0.3400713304822034,0,0.0,0.7388026714324951,0.0,0.0
2015-04-16,56.709999084472656,80.13599967956543,81.28680038452148,71.42880249023438,23.809600830078125,25.280550316969553,4.527199057717849,-0.32491380832565603,0,0.0,0.2091996669769287,0.0,0.0
2015-04-17,55.7400016784668,79.06080150604248,81.0558021068573,71.95740008354187,23.98580002784729,25.399043639500935,4.394598364937805,-0.32158652379456887,0,0.0,0.17619919776916504,0.0,0.0
